upi_id,merchant_name,amount,suspicious_keyword,digit_count,upi_length,handle,brand_impersonation,trap_amount,report_count,is_blacklisted,merchant_age_days,is_fraud
vuxvdeci38@ibl,Paytm Cashback,4488,1,2,14,ibl,1,0,12,0,979,1
ptgpat842@okaxis,PhonePe Help,4102,1,3,16,okaxis,1,0,5,0,5,1
lqqhgn@ybl,Fresh Mart,3909,0,0,10,ybl,0,0,5,0,962,0
qjidzzxa@okicici,Urban Foods,2125,0,0,16,okicici,0,0,9,0,568,0
wpslhb@okicici,Quick Recharge,6,0,0,14,okicici,0,0,7,0,625,0
agdgeubo@okicici,Online Offer,3335,1,0,16,okicici,0,0,5,0,718,0
osayhkxu@ybl,Quick Recharge,3260,0,0,12,ybl,0,0,3,0,132,0
adtwicemlw35@ibl,Daily Needs,3720,0,2,16,ibl,0,0,1,0,673,0
rjeceua323@ibl,Smart Fashion,356,0,3,14,ibl,0,0,0,0,760,0
slaqtowzqc@ybl,Online Offer,3867,1,0,14,ybl,0,0,6,0,233,1
jqkqkak@axl,Amazon Support,4051,1,0,11,axl,1,0,1,0,751,1
jtajvwbh@axl,Online Offer,4757,1,0,12,axl,0,0,0,0,484,0
whpvstl136@ibl,Mega Electronics,4855,0,3,14,ibl,0,0,6,0,31,0
ikjydy@axl,Daily Needs,2035,0,0,10,axl,0,0,13,0,806,0
jbjrfzsod831@ybl,Flipkart Deals,2333,0,3,16,ybl,1,0,10,0,996,1
ggbkgr@ybl,Daily Needs,2361,0,0,10,ybl,0,0,13,1,313,0
irhyga@okicici,Daily Needs,1211,0,0,14,okicici,0,0,7,0,750,0
qbvruqebqh@axl,Urban Foods,4346,0,0,14,axl,0,0,15,0,746,0
gokyv@ibl,City Bakers,3201,0,0,9,ibl,0,0,3,0,410,0
bjkfiptpf986@ibl,Smart Fashion,198,0,3,16,ibl,0,0,13,1,819,0
sqkiosibcr74@ibl,Daily Needs,132,0,2,16,ibl,0,0,1,0,195,0
yzxmbokeec330@ybl,Fresh Mart,245,0,3,17,ybl,0,0,6,0,32,0
unhak@okaxis,Mega Electronics,1514,0,0,12,okaxis,0,0,7,0,967,0
hvmvpnp@axl,Fresh Mart,2313,0,0,11,axl,0,0,9,0,123,0
uniokoytjw282@paytm,Mega Electronics,1393,0,3,19,paytm,0,0,10,1,445,0
uoiskk@okaxis,PhonePe Help,3256,1,0,13,okaxis,1,0,12,1,449,1
xhhbtqgqg974@paytm,Quick Recharge,982,0,3,18,paytm,0,0,13,1,254,0
vsfwmjb806@ybl,Smart Fashion,1485,0,3,14,ybl,0,0,13,0,692,0
jbfcp@ibl,Green Grocery,3796,0,0,9,ibl,0,0,8,0,871,0
wesnn@okaxis,Smart Fashion,2482,0,0,12,okaxis,0,0,9,1,942,0
xjtpurz@axl,Paytm Cashback,2204,1,0,11,axl,1,0,11,0,210,1
bwqnhd@axl,PhonePe Help,3772,1,0,10,axl,1,0,6,0,212,1
blpwd@okaxis,Flipkart Deals,3655,0,0,12,okaxis,1,0,3,0,373,0
vfnxkap@ybl,Green Grocery,2891,0,0,11,ybl,0,0,11,1,109,0
focosg835@ybl,City Bakers,4601,0,3,13,ybl,0,0,4,0,985,0
vwexnz@ibl,Paytm Cashback,2827,1,0,10,ibl,1,0,14,1,872,1
gseqmem@okicici,PhonePe Help,4879,1,0,15,okicici,1,0,13,0,344,1
pmcjumdv@okaxis,Urban Foods,2110,0,0,15,okaxis,0,0,10,0,690,0
duaodquze828@okicici,City Bakers,327,0,3,20,okicici,0,0,15,1,45,0
aiqndmng@axl,Flipkart Deals,1594,0,0,12,axl,1,0,1,0,939,0
eywhigany@axl,Daily Needs,4490,0,0,13,axl,0,0,2,0,658,0
tpfcst@okaxis,City Bakers,1320,0,0,13,okaxis,0,0,9,0,111,0
dhooolyu@paytm,Quick Recharge,2055,0,0,14,paytm,0,0,10,0,131,0
jaxffw@okicici,Mega Electronics,2017,0,0,14,okicici,0,0,2,0,126,0
eyjyktjs@paytm,Fresh Mart,2220,0,0,14,paytm,0,0,2,0,562,0
ndumlkif93@ybl,Mega Electronics,4448,0,2,14,ybl,0,0,14,0,680,0
rvkmpbe@paytm,Green Grocery,2940,0,0,13,paytm,0,0,7,0,100,0
efyebbhjx@ibl,Mega Electronics,4559,0,0,13,ibl,0,0,4,0,685,0
gfiausmrli@ybl,Quick Recharge,3220,0,0,14,ybl,0,0,4,0,563,0
ozvhfc@axl,Daily Needs,3351,0,0,10,axl,0,0,15,1,290,0
xqrfxpzclx@okicici,Green Grocery,3776,0,0,18,okicici,0,0,2,0,361,0
kjifijup@okicici,PhonePe Help,1866,1,0,16,okicici,1,0,0,0,442,1
opwnyk12@ybl,Mega Electronics,423,0,2,12,ybl,0,0,4,0,731,0
vkrovxu@ibl,City Bakers,1849,0,0,11,ibl,0,0,7,0,986,0
hyoqcynz@axl,Daily Needs,4119,0,0,12,axl,0,0,4,0,492,0
obbruf@okaxis,Online Offer,4984,1,0,13,okaxis,0,0,7,0,292,1
otqzjmnbgs48@ybl,Amazon Support,181,1,2,16,ybl,1,0,15,0,67,1
qqawbn647@okaxis,Urban Foods,3530,0,3,16,okaxis,0,0,10,1,36,0
cmsqubnnpe@paytm,Paytm Cashback,4321,1,0,16,paytm,1,0,3,0,585,1
zpwzuuxh247@paytm,Fresh Mart,1696,0,3,17,paytm,0,0,9,0,367,0
fnmvgakujf805@okaxis,Fresh Mart,3031,0,3,20,okaxis,0,0,14,1,803,0
igadi23@paytm,Flipkart Deals,4118,0,2,13,paytm,1,0,15,0,403,1
matyxx@okicici,Flipkart Deals,1031,0,0,14,okicici,1,0,4,0,805,0
vdspoytwt728@ybl,Quick Recharge,2185,0,3,16,ybl,0,0,12,0,55,0
dtardsaj617@okaxis,PhonePe Help,3508,1,3,18,okaxis,1,0,7,0,143,1
uahdvofe830@ybl,Green Grocery,1601,0,3,15,ybl,0,0,0,0,626,0
cccehbwi@paytm,Green Grocery,260,0,0,14,paytm,0,0,0,0,305,0
ekmufdgga@ybl,Daily Needs,2918,0,0,13,ybl,0,0,0,0,442,0
ohsis@okicici,Mega Electronics,3601,0,0,13,okicici,0,0,1,0,533,0
apnvnlyc867@axl,Daily Needs,1660,0,3,15,axl,0,0,8,0,911,0
ekajx@okaxis,PhonePe Help,2255,1,0,12,okaxis,1,0,0,0,205,1
amyaqx205@paytm,Flipkart Deals,1283,0,3,15,paytm,1,0,6,0,845,1
qpevpsbpvq51@paytm,Urban Foods,2885,0,2,18,paytm,0,0,5,0,353,0
uaculvc@axl,Smart Fashion,3274,0,0,11,axl,0,0,10,1,524,0
chajesva@ybl,Amazon Support,2188,1,0,12,ybl,1,0,3,0,885,1
zzety@ibl,Green Grocery,884,0,0,9,ibl,0,0,9,0,407,0
wguqwkdae124@ybl,Urban Foods,3595,0,3,16,ybl,0,0,10,1,138,0
knevjmpnxi556@okicici,Mega Electronics,3235,0,3,21,okicici,0,0,2,0,724,0
vpynr@paytm,City Bakers,325,0,0,11,paytm,0,0,0,0,659,0
hmfukkvxa77@paytm,Urban Foods,1071,0,2,17,paytm,0,0,2,0,110,0
gzpdw@ibl,Flipkart Deals,4107,0,0,9,ibl,1,0,12,1,419,1
mfxittywuz@axl,Quick Recharge,3067,0,0,14,axl,0,0,12,0,352,0
emzqivfz841@okicici,Amazon Support,4007,1,3,19,okicici,1,0,11,1,152,1
wgnmas@paytm,Mega Electronics,1775,0,0,12,paytm,0,0,6,0,738,0
erxybjsl@ibl,Green Grocery,107,0,0,12,ibl,0,0,12,0,954,0
kfdogru@axl,Fresh Mart,3078,0,0,11,axl,0,0,1,0,925,0
sdrumu211@okaxis,Flipkart Deals,3880,0,3,16,okaxis,1,0,15,1,319,1
htrcu@paytm,Smart Fashion,1808,0,0,11,paytm,0,0,7,0,363,0
lqilq@ybl,Urban Foods,1378,0,0,9,ybl,0,0,9,1,14,0
cpjmi@okaxis,Quick Recharge,3390,0,0,12,okaxis,0,0,10,0,38,0
nblvybeaal@okaxis,Paytm Cashback,1466,1,0,17,okaxis,1,0,1,0,197,1
kfdcht@okicici,Fresh Mart,3180,0,0,14,okicici,0,0,6,0,576,0
knyqg@okaxis,Quick Recharge,1360,0,0,12,okaxis,0,0,3,0,786,0
sldhfypl@ybl,Amazon Support,1357,1,0,12,ybl,1,0,6,0,97,1
hmwvl@ibl,Online Offer,2530,1,0,9,ibl,0,0,5,0,135,0
ezrqrz@okaxis,Smart Fashion,4938,0,0,13,okaxis,0,0,13,1,351,0
xxzaepoc846@ibl,Mega Electronics,1704,0,3,15,ibl,0,0,6,0,446,0
rnhyecbfw915@okaxis,Daily Needs,74,0,3,19,okaxis,0,0,10,0,377,0
nnajru@okaxis,Fresh Mart,3720,0,0,13,okaxis,0,0,1,0,753,0
ywwebsmfsz@paytm,Fresh Mart,3253,0,0,16,paytm,0,0,1,0,541,0
tajuqutuoj920@okicici,Flipkart Deals,1531,0,3,21,okicici,1,0,7,0,103,1
xgsmigyuq@axl,Paytm Cashback,914,1,0,13,axl,1,0,4,0,249,1
eulpf@paytm,PhonePe Help,2233,1,0,11,paytm,1,0,12,1,487,1
xilcwm@axl,Quick Recharge,4349,0,0,10,axl,0,0,1,0,32,0
msktnnxofm@okaxis,Smart Fashion,2017,0,0,17,okaxis,0,0,5,0,998,0
qskhywc@paytm,PhonePe Help,2454,1,0,13,paytm,1,0,8,0,595,1
bfbaq@okaxis,Daily Needs,4561,0,0,12,okaxis,0,0,6,0,2,0
fdoqvcl@ibl,Paytm Cashback,1650,1,0,11,ibl,1,0,13,1,35,1
amwlxlimck@okicici,Flipkart Deals,195,0,0,18,okicici,1,0,13,0,927,1
wymqy@okaxis,Daily Needs,1264,0,0,12,okaxis,0,0,2,0,200,0
kcbumsj266@ibl,Green Grocery,2876,0,3,14,ibl,0,0,0,0,589,0
uatfej@ibl,Urban Foods,1455,0,0,10,ibl,0,0,4,0,998,0
bxqkbamoag@okaxis,Green Grocery,2906,0,0,17,okaxis,0,0,14,1,934,0
oqyiqtw@okicici,City Bakers,4462,0,0,15,okicici,0,0,12,1,683,0
xzmubbhx@ybl,Online Offer,616,1,0,12,ybl,0,0,6,0,879,1
hbehf@ibl,Online Offer,1006,1,0,9,ibl,0,0,2,0,230,0
typyttylqi@ybl,PhonePe Help,3444,1,0,14,ybl,1,0,10,1,773,1
ayxian@axl,Daily Needs,4232,0,0,10,axl,0,0,10,0,352,0
eezzy@axl,Daily Needs,4168,0,0,9,axl,0,0,11,1,906,0
ojlhvd@ibl,Online Offer,2519,1,0,10,ibl,0,0,14,0,669,1
upszmbxmh@okicici,Amazon Support,2779,1,0,17,okicici,1,0,6,0,792,1
lczjfhg417@ybl,PhonePe Help,3737,1,3,14,ybl,1,0,0,0,844,1
vlzkuzh@ibl,Amazon Support,1364,1,0,11,ibl,1,0,13,0,459,1
oqlheupfa834@okaxis,Daily Needs,3318,0,3,19,okaxis,0,0,13,0,392,0
dizoq879@okaxis,City Bakers,1323,0,3,15,okaxis,0,0,5,0,869,0
gxtzneewh641@paytm,Urban Foods,158,0,3,18,paytm,0,0,12,0,968,0
tfchq@paytm,PhonePe Help,3886,1,0,11,paytm,1,0,14,1,357,1
refsxc@okaxis,Online Offer,1143,1,0,13,okaxis,0,0,3,0,948,0
hjokbssy@okaxis,Flipkart Deals,4116,0,0,15,okaxis,1,0,9,0,834,1
hqkks@okaxis,Daily Needs,1831,0,0,12,okaxis,0,0,2,0,115,0
denwwpt@okicici,Online Offer,3345,1,0,15,okicici,0,0,13,1,312,1
evmfscf@axl,Online Offer,4559,1,0,11,axl,0,0,11,0,879,1
arcitlnc@ybl,Smart Fashion,3962,0,0,12,ybl,0,0,13,1,797,0
fszwbufstz@axl,Fresh Mart,2559,0,0,14,axl,0,0,0,0,968,0
ezkhpihbd@ibl,PhonePe Help,4679,1,0,13,ibl,1,0,6,0,48,1
vrgxfvikrc@paytm,Paytm Cashback,3516,1,0,16,paytm,1,0,8,0,801,1
javxy@paytm,Flipkart Deals,445,0,0,11,paytm,1,0,9,0,668,1
xjbrfjur@okicici,Amazon Support,680,1,0,16,okicici,1,0,8,0,902,1
ethrwyeuf@okaxis,Quick Recharge,442,0,0,16,okaxis,0,0,2,0,506,0
snfwon@ibl,Urban Foods,1223,0,0,10,ibl,0,0,11,0,132,0
myozthyvx@okaxis,Amazon Support,2498,1,0,16,okaxis,1,0,2,0,979,1
tvlqulzmwu@okicici,Online Offer,3548,1,0,18,okicici,0,0,15,1,968,1
etgbnej48@axl,City Bakers,913,0,2,13,axl,0,0,11,0,412,0
jmmxyrpd@axl,Flipkart Deals,1589,0,0,12,axl,1,0,4,0,661,0
othlbr698@axl,Paytm Cashback,625,1,3,13,axl,1,0,10,1,576,1
ttaytucev59@axl,Flipkart Deals,1632,0,2,15,axl,1,0,5,0,140,0
imhkwqcuql@axl,Mega Electronics,1086,0,0,14,axl,0,0,1,0,459,0
bwcgebkg@ybl,Smart Fashion,1878,0,0,12,ybl,0,0,7,0,489,0
jjsdyexeyf@okicici,Green Grocery,188,0,0,18,okicici,0,0,4,0,425,0
jlrmcuzk@ybl,Urban Foods,2409,0,0,12,ybl,0,0,8,0,13,0
bxoecqyiu247@okaxis,Online Offer,4231,1,3,19,okaxis,0,0,12,1,25,1
jvcbix261@okicici,Daily Needs,541,0,3,17,okicici,0,0,7,0,67,0
osfqujva@okicici,City Bakers,4494,0,0,16,okicici,0,0,10,0,143,0
hugbnwjqp@ibl,Amazon Support,2409,1,0,13,ibl,1,0,6,0,279,1
bapvbtmtby@okaxis,City Bakers,3611,0,0,17,okaxis,0,0,14,0,243,0
hiccrsmcq892@ibl,Flipkart Deals,1234,0,3,16,ibl,1,0,10,0,101,1
kxbbsxptul@ybl,Flipkart Deals,2777,0,0,14,ybl,1,0,9,0,459,1
zwmbjq21@okaxis,Flipkart Deals,3317,0,2,15,okaxis,1,0,8,0,978,1
wzrhkn@ybl,Paytm Cashback,846,1,0,10,ybl,1,0,15,1,753,1
sxtqprrkh@okaxis,Fresh Mart,219,0,0,16,okaxis,0,0,14,0,213,0
fgkjofe@paytm,Flipkart Deals,2562,0,0,13,paytm,1,0,1,0,706,0
mfxjl@ybl,Quick Recharge,29,0,0,9,ybl,0,0,11,0,146,0
mkpgn@paytm,Online Offer,4421,1,0,11,paytm,0,0,9,1,926,1
rgdhjd@ibl,City Bakers,3753,0,0,10,ibl,0,0,7,0,116,0
mqselrsh69@okaxis,Online Offer,3729,1,2,17,okaxis,0,0,0,0,558,0
yxtqpy637@ybl,Urban Foods,1859,0,3,13,ybl,0,0,0,0,100,0
uhixug@okicici,Urban Foods,4452,0,0,14,okicici,0,0,3,0,885,0
rxnpxvc@okaxis,PhonePe Help,2214,1,0,14,okaxis,1,0,5,0,918,1
qinbojf@axl,Smart Fashion,223,0,0,11,axl,0,0,4,0,24,0
dkpdac744@ibl,Flipkart Deals,419,0,3,13,ibl,1,0,1,0,382,0
tnqcbosp@paytm,Fresh Mart,1783,0,0,14,paytm,0,0,2,0,720,0
myzktppz@axl,Flipkart Deals,4211,0,0,12,axl,1,0,8,0,270,1
civyme@okaxis,PhonePe Help,3129,1,0,13,okaxis,1,0,2,0,939,1
unbutwsjy@ybl,Smart Fashion,4342,0,0,13,ybl,0,0,5,0,570,0
vilplbbm@okicici,Urban Foods,1485,0,0,16,okicici,0,0,0,0,133,0
uwxzzewe@ibl,Green Grocery,5000,0,0,12,ibl,0,0,0,0,637,0
ylnrsghbzp697@okaxis,Amazon Support,4124,1,3,20,okaxis,1,0,9,1,227,1
tctcmw@ybl,Urban Foods,2492,0,0,10,ybl,0,0,6,0,866,0
uyclsu@okaxis,Green Grocery,4241,0,0,13,okaxis,0,0,14,0,962,0
zctuddulg@ibl,Quick Recharge,1147,0,0,13,ibl,0,0,9,0,616,0
mmetjf981@okicici,Online Offer,4641,1,3,17,okicici,0,0,13,0,398,1
yliqa@ibl,Urban Foods,4859,0,0,9,ibl,0,0,8,0,485,0
jhtddmv@okicici,Green Grocery,716,0,0,15,okicici,0,0,3,0,622,0
dlbjtybc@ibl,Green Grocery,2458,0,0,12,ibl,0,0,12,0,429,0
wpugnraize@paytm,City Bakers,2596,0,0,16,paytm,0,0,5,0,302,0
muwbfj873@okicici,Mega Electronics,2207,0,3,17,okicici,0,0,9,1,438,0
opuaopz@ybl,Paytm Cashback,3694,1,0,11,ybl,1,0,11,0,376,1
wnogbodxk@ibl,Daily Needs,1501,0,0,13,ibl,0,0,5,0,473,0
epwynda@axl,Paytm Cashback,610,1,0,11,axl,1,0,6,0,445,1
wskiltu895@axl,Flipkart Deals,3604,0,3,14,axl,1,0,12,0,298,1
btvore@paytm,Mega Electronics,2682,0,0,12,paytm,0,0,14,1,841,0
adjxzelrw@axl,Daily Needs,3777,0,0,13,axl,0,0,4,0,622,0
sfkvzgtq@okicici,Flipkart Deals,4115,0,0,16,okicici,1,0,3,0,100,0
emqqg@okaxis,Smart Fashion,1238,0,0,12,okaxis,0,0,13,1,485,0
emmqz549@okicici,Urban Foods,3543,0,3,16,okicici,0,0,8,0,343,0
uogxjxpt@ibl,Amazon Support,3282,1,0,12,ibl,1,0,6,0,784,1
vqzgzjjaxf171@ybl,Amazon Support,4165,1,3,17,ybl,1,0,2,0,466,1
iozdj@paytm,Quick Recharge,1886,0,0,11,paytm,0,0,2,0,499,0
hcfelx@okaxis,Amazon Support,3792,1,0,13,okaxis,1,0,14,0,744,1
mghsgo@ibl,Daily Needs,3063,0,0,10,ibl,0,0,11,0,833,0
fgvvcq@paytm,City Bakers,1094,0,0,12,paytm,0,0,9,0,585,0
iyaueot@okicici,Fresh Mart,1081,0,0,15,okicici,0,0,2,0,854,0
sujxkt@paytm,Quick Recharge,1192,0,0,12,paytm,0,0,10,0,358,0
vghedzg505@paytm,Daily Needs,714,0,3,16,paytm,0,0,8,0,260,0
uflqwgyz@ybl,City Bakers,1130,0,0,12,ybl,0,0,0,0,342,0
htlogtg@okaxis,Green Grocery,630,0,0,14,okaxis,0,0,15,1,636,0
zlsug@ybl,Daily Needs,869,0,0,9,ybl,0,0,10,1,90,0
omgqythv@axl,Amazon Support,4067,1,0,12,axl,1,0,10,0,245,1
xdkabgalkg@okicici,PhonePe Help,3890,1,0,18,okicici,1,0,13,0,854,1
ydmghflgcc@ibl,City Bakers,1775,0,0,14,ibl,0,0,12,1,953,0
xdglrgvtrw388@ibl,Green Grocery,1272,0,3,17,ibl,0,0,0,0,863,0
ndftzcazcv@ybl,Daily Needs,1508,0,0,14,ybl,0,0,8,0,178,0
amahyvhdn415@paytm,Daily Needs,1383,0,3,18,paytm,0,0,4,0,307,0
xciqonxxe299@ybl,Urban Foods,4161,0,3,16,ybl,0,0,13,1,437,0
yiuizedzfq892@okicici,Daily Needs,570,0,3,21,okicici,0,0,14,0,198,0
weqohwto966@okaxis,Amazon Support,1385,1,3,18,okaxis,1,0,10,1,794,1
mqdpu@axl,Mega Electronics,223,0,0,9,axl,0,0,9,1,742,0
cqsjqysq255@okaxis,Green Grocery,3353,0,3,18,okaxis,0,0,6,0,747,0
xdkjifeujf@ibl,Urban Foods,832,0,0,14,ibl,0,0,4,0,836,0
rajtiszk@axl,Mega Electronics,203,0,0,12,axl,0,0,2,0,887,0
swkhqlv@okicici,Quick Recharge,3860,0,0,15,okicici,0,0,13,1,904,0
wcylmvk@axl,City Bakers,1830,0,0,11,axl,0,0,1,0,853,0
xsbbaq@ibl,Online Offer,4684,1,0,10,ibl,0,0,0,0,592,0
totkdgoukb@okaxis,Daily Needs,4907,0,0,17,okaxis,0,0,6,0,475,0
yzygw@paytm,Smart Fashion,3265,0,0,11,paytm,0,0,6,0,666,0
cwbjqjep@paytm,Online Offer,3400,1,0,14,paytm,0,0,13,0,845,1
nccdc@ibl,Quick Recharge,3190,0,0,9,ibl,0,0,6,0,674,0
ugqseox@ybl,Online Offer,2258,1,0,11,ybl,0,0,0,0,760,0
jmeslzl577@axl,Daily Needs,2598,0,3,14,axl,0,0,2,0,378,0
ejamsrf@ibl,City Bakers,1663,0,0,11,ibl,0,0,2,0,424,0
rmgptj@paytm,Mega Electronics,348,0,0,12,paytm,0,0,2,0,664,0
objyofpvmp924@okicici,City Bakers,1277,0,3,21,okicici,0,0,9,0,273,0
pmjyhefycp292@okaxis,Smart Fashion,1694,0,3,20,okaxis,0,0,1,0,968,0
lxbsp@okaxis,Mega Electronics,2184,0,0,12,okaxis,0,0,13,0,219,0
nczseni478@ibl,City Bakers,4044,0,3,14,ibl,0,0,11,1,676,0
jzymhaqvex@ibl,Green Grocery,2440,0,0,14,ibl,0,0,1,0,837,0
watdwc@okicici,Amazon Support,2545,1,0,14,okicici,1,0,13,0,632,1
dixcvdqzyb@ybl,Flipkart Deals,3608,0,0,14,ybl,1,0,4,0,742,0
xbjmv135@okaxis,Online Offer,2429,1,3,15,okaxis,0,0,8,0,691,1
ylhqdax@ybl,Fresh Mart,4536,0,0,11,ybl,0,0,6,0,529,0
kvmpgnnub@ybl,Green Grocery,1056,0,0,13,ybl,0,0,10,0,64,0
fimqdvn@okaxis,Mega Electronics,4303,0,0,14,okaxis,0,0,10,1,848,0
cphzi@okaxis,Paytm Cashback,2862,1,0,12,okaxis,1,0,2,0,332,1
hoqkz@okaxis,PhonePe Help,616,1,0,12,okaxis,1,0,15,1,894,1
fmbmwqras955@okicici,Green Grocery,2253,0,3,20,okicici,0,0,9,1,861,0
whkybj487@okaxis,City Bakers,2381,0,3,16,okaxis,0,0,12,1,378,0
szbpigq@okaxis,PhonePe Help,1300,1,0,14,okaxis,1,0,11,0,296,1
kewyrlre@okaxis,Urban Foods,4111,0,0,15,okaxis,0,0,7,0,218,0
ktaqw@paytm,Amazon Support,1166,1,0,11,paytm,1,0,14,1,103,1
sghjbrqfaq@axl,City Bakers,1792,0,0,14,axl,0,0,13,1,695,0
jtglxqkio@ibl,City Bakers,1417,0,0,13,ibl,0,0,14,1,41,0
zvgivvl@axl,Amazon Support,1356,1,0,11,axl,1,0,7,0,144,1
zjrvluu@okaxis,Quick Recharge,3541,0,0,14,okaxis,0,0,10,1,184,0
wncgr170@okaxis,Amazon Support,2696,1,3,15,okaxis,1,0,0,0,201,1
zains852@okaxis,Amazon Support,1145,1,3,15,okaxis,1,0,15,1,477,1
wwwca483@okicici,Amazon Support,319,1,3,16,okicici,1,0,5,0,874,1
gepldwbh196@axl,Green Grocery,21,0,3,15,axl,0,0,9,0,143,0
blkbpkx@okicici,Quick Recharge,784,0,0,15,okicici,0,0,10,0,400,0
jidwemd@paytm,Smart Fashion,4027,0,0,13,paytm,0,0,13,0,320,0
hwxkhqsjo@axl,Online Offer,2198,1,0,13,axl,0,0,9,1,122,1
qqbeh@paytm,PhonePe Help,2307,1,0,11,paytm,1,0,5,0,942,1
jcajnvsjbg@ibl,City Bakers,4857,0,0,14,ibl,0,0,13,0,738,0
fyirnwq@okaxis,Paytm Cashback,2680,1,0,14,okaxis,1,0,13,0,865,1
jyews@paytm,Daily Needs,627,0,0,11,paytm,0,0,0,0,835,0
jpbxdgrb@okicici,Urban Foods,2945,0,0,16,okicici,0,0,5,0,576,0
apyhiivtzw@okicici,Amazon Support,2789,1,0,18,okicici,1,0,7,0,346,1
joyrrs902@ybl,Green Grocery,2908,0,3,13,ybl,0,0,10,0,270,0
rznvj@okicici,Fresh Mart,3908,0,0,13,okicici,0,0,13,1,230,0
rcdzrvozgf@ybl,Green Grocery,799,0,0,14,ybl,0,0,0,0,714,0
jstojfict118@okaxis,Smart Fashion,1819,0,3,19,okaxis,0,0,10,0,592,0
yqjld983@paytm,PhonePe Help,1060,1,3,14,paytm,1,0,15,0,930,1
